point_id,year,c/n [-],humus [%],organic_carbon [%],total_nitrogen [%]
189,2020,11.86,2.86,1.66,0.14
191,1995,9.7,1.62,0.94,0.097
191,2000,13.0,1.85,1.07,0.082
191,2005,11.9,1.58,0.92,0.077
191,2010,8.7,1.62,0.94,0.108
191,2015,10.1,1.56,0.9,0.09
191,2020,12.29,2.96,1.72,0.14
193,1995,12.7,2.55,1.48,0.116
193,2000,11.1,2.49,1.44,0.13
193,2005,13.0,3.01,1.75,0.135
193,2010,9.1,2.76,1.6,0.176
193,2015,8.7,3.01,1.75,0.2
193,2020,5.1,1.76,1.02,0.2
195,1995,9.5,2.52,1.46,0.154
195,2000,8.9,2.73,1.58,0.178
195,2005,12.8,2.87,1.66,0.13
195,2010,9.8,2.28,1.32,0.135
195,2015,9.9,2.57,1.49,0.15
195,2020,6.45,2.22,1.29,0.2
197,1995,13.1,1.69,0.98,0.075
197,2000,13.1,1.83,1.06,0.081
197,2005,10.8,1.67,0.97,0.09
197,2010,9.7,2.07,1.2,0.124
197,2015,9.8,2.02,1.17,0.12
197,2020,21.56,5.95,3.45,0.16
199,1995,12.0,1.02,0.59,0.049
199,2000,17.8,1.22,0.71,0.04
199,2005,14.7,0.92,0.53,0.036
199,2010,10.3,1.03,0.6,0.058
199,2015,9.1,0.95,0.55,0.06
199,2020,41.21,4.11,2.39,0.058
201,1995,9.9,1.28,0.74,0.075
201,2000,7.5,1.04,0.6,0.08
201,2005,11.2,1.28,0.74,0.066
201,2010,10.7,1.12,0.65,0.061
201,2015,12.4,1.49,0.87,0.07
201,2020,9.0,1.54,0.9,0.1
203,1995,11.0,1.14,0.66,0.06
203,2000,11.1,1.32,0.76,0.068
203,2005,9.2,1.13,0.66,0.072
203,2010,10.1,1.48,0.86,0.085
203,2015,9.7,1.33,0.77,0.08
203,2020,31.83,3.29,1.91,0.06
205,1995,11.2,2.09,1.21,0.108
205,2000,12.6,1.87,1.08,0.086
205,2005,11.1,1.71,0.99,0.089
205,2010,10.7,1.36,0.79,0.074
205,2015,8.7,1.21,0.7,0.08
205,2020,14.17,4.4,2.55,0.18
207,1995,11.9,1.83,1.06,0.089
207,2000,12.0,2.06,1.19,0.099
207,2005,9.4,1.97,1.14,0.121
207,2010,9.8,1.59,0.92,0.094
207,2015,10.0,1.55,0.9,0.09
207,2020,23.27,4.41,2.56,0.11
209,1995,11.9,1.74,1.0,0.084
209,2000,11.6,1.85,1.07,0.092
209,2005,12.0,1.55,0.9,0.075
209,2010,10.7,1.59,0.92,0.086
209,2015,10.1,1.39,0.81,0.08
209,2020,20.36,3.86,2.24,0.11
211,1995,10.7,1.12,0.64,0.06
211,2000,10.2,1.42,0.82,0.08
211,2005,12.2,1.54,0.89,0.073
211,2010,9.9,1.67,0.97,0.098
211,2015,10.0,1.37,0.8,0.08
211,2020,12.0,2.49,1.44,0.12
213,1995,11.0,1.31,0.76,0.069
213,2000,10.6,1.25,0.72,0.068
213,2005,10.0,1.18,0.68,0.068
213,2010,9.9,1.29,0.75,0.076
213,2015,7.1,1.22,0.71,0.1
213,2020,23.5,4.06,2.35,0.1
215,1995,10.7,1.29,0.75,0.07
215,2000,8.0,1.1,0.64,0.08
215,2005,7.3,1.08,0.63,0.086
215,2010,9.6,1.1,0.64,0.067
215,2015,7.3,1.0,0.58,0.08
215,2020,10.93,2.64,1.53,0.14
217,1995,7.2,0.79,0.45,0.062
217,2000,9.1,0.91,0.53,0.058
217,2005,11.5,0.91,0.53,0.046
217,2010,10.7,1.4,0.81,0.076
217,2015,9.6,1.16,0.67,0.07
217,2020,43.8,3.78,2.19,0.05
219,1995,7.1,1.1,0.64,0.09
219,2000,8.0,1.42,0.82,0.103
219,2005,9.5,1.4,0.81,0.085
219,2010,9.6,1.59,0.92,0.096
219,2015,7.8,1.47,0.86,0.11
219,2020,21.2,3.65,2.12,0.1
221,1995,18.3,2.18,1.26,0.069
221,2000,14.8,2.07,1.2,0.081
221,2005,12.8,1.8,1.04,0.081
221,2010,10.4,1.72,1.0,0.096
221,2015,10.7,1.85,1.07,0.1
221,2020,5.83,1.2,0.7,0.12
223,1995,8.7,1.23,0.71,0.082
