point_id,year,CaCo3 [%],pH_H2O [pH],pH_KCl [pH]
87,2010,,5.7,4.4
87,2015,,5.3,4.5
87,2020,0.12,5.2,4.3
89,1995,,6.2,5.0
89,2000,,5.8,4.8
89,2005,,5.8,4.7
89,2010,,6.5,5.5
89,2015,,5.9,5.3
89,2020,0.13,5.1,4.2
91,1995,,6.2,5.0
91,2000,,6.4,5.2
91,2005,,6.0,4.8
91,2010,,6.7,5.6
91,2015,,5.2,4.1
91,2020,0.14,5.5,4.6
93,1995,,6.4,5.5
93,2000,,6.7,5.4
93,2005,,6.0,5.1
93,2010,,6.5,5.5
93,2015,,6.0,5.4
93,2020,0.02,5.4,4.5
95,1995,,6.4,5.2
95,2000,,6.3,4.9
95,2005,,5.9,4.8
95,2010,,6.2,4.7
95,2015,,5.9,4.8
95,2020,0.03,6.8,6.2
97,1995,,6.6,5.7
97,2000,,6.9,5.7
97,2005,,6.4,5.3
97,2010,,6.3,5.4
97,2015,,6.4,5.7
97,2020,0.02,6.6,6.2
99,1995,,7.5,7.0
99,2000,,8.0,7.3
99,2005,,8.0,7.5
99,2010,,7.3,6.6
99,2015,,6.6,6.3
99,2020,0.02,4.9,3.4
101,1995,,6.9,6.2
101,2000,,7.6,6.5
101,2005,,6.9,6.3
101,2010,,6.8,5.8
101,2015,,6.6,6.2
101,2020,0.03,4.8,3.9
103,1995,,6.6,5.3
103,2000,,6.3,5.1
103,2005,,5.9,4.8
103,2010,,6.8,5.9
103,2015,,6.4,5.8
103,2020,0.03,6.6,5.9
105,1995,,6.4,5.4
105,2000,,6.7,5.4
105,2005,,6.3,5.0
105,2010,,5.8,4.6
105,2015,,5.3,4.3
105,2020,0.03,7.1,6.4
107,1995,,7.0,5.8
107,2000,,7.3,6.0
107,2005,,6.9,5.9
107,2010,0.04,7.2,6.4
107,2015,,6.7,6.2
107,2020,"<0,01",6.5,5.7
111,1995,,6.7,5.6
111,2000,,7.1,5.9
111,2005,,6.4,5.6
111,2010,0.08,6.8,5.8
111,2015,,5.7,5.0
111,2020,0.02,5.9,5.1
113,1995,,5.7,4.7
113,2000,,6.3,5.0
113,2005,,5.9,4.9
113,2010,,6.4,5.3
113,2015,,5.4,4.5
113,2020,0.02,5.2,5.6
115,1995,,6.5,5.6
115,2000,,6.8,5.8
115,2005,,6.7,5.8
115,2010,0.04,7.0,6.0
115,2015,,5.9,5.1
115,2020,0.03,6.1,5.2
117,1995,,6.9,6.0
117,2000,,7.0,5.8
117,2005,,6.6,5.7
117,2010,,7.2,6.5
117,2015,,6.6,6.0
117,2020,0.02,7.0,6.3
119,1995,,6.3,5.2
119,2000,,6.2,5.3
119,2005,,6.2,5.5
119,2010,,6.7,5.8
119,2015,,6.1,5.5
119,2020,"<0,01",4.5,3.9
121,1995,0.04,7.4,6.8
121,2000,0.08,7.9,6.7
121,2005,,7.2,6.6
121,2010,0.04,7.6,7.0
121,2015,0.19,7.4,7.0
121,2020,0.02,6.9,6.2
123,1995,,6.9,6.2
123,2000,,7.1,6.1
123,2005,,6.7,5.9
123,2010,2.2,8.4,8.0
123,2015,2.47,7.6,7.3
123,2020,0.28,7.9,7.8
125,1995,,6.5,5.8
125,2000,,6.8,5.9
125,2005,0.13,7.2,6.6
125,2010,0.08,8.0,7.4
125,2015,0.21,6.9,6.6
125,2020,0.04,6.8,6.4
127,1995,,6.5,5.5
127,2000,,6.1,5.3
127,2005,,5.8,4.9
127,2010,,5.4,4.1
127,2015,,4.2,3.3
127,2020,"<0,01",4.7,4
129,1995,0.42,7.2,6.5
129,2000,0.3,7.6,6.4
129,2005,0.15,7.3,6.0
129,2010,0.08,7.2,6.4
129,2015,,6.4,5.6
129,2020,"<0,01",5.4,4.6
131,1995,0.62,7.2,6.3
131,2000,0.55,7.1,6.1
131,2005,0.54,7.3,6.6
131,2010,,6.2,5.3
131,2015,,5.9,5.2
131,2020,0.03,5.5,4.7
133,1995,,6.4,5.3
133,2000,,6.5,5.2
133,2005,,5.8,4.9
133,2010,,6.3,5.2
133,2015,,5.2,4.4
133,2020,0.02,5.9,4.9
135,1995,,5.3,4.4
135,2000,,5.6,4.2
135,2005,,4.8,3.8
135,2010,,4.8,3.9
135,2015,,3.8,3.1
135,2020,"<0,01",6.1,5.3
137,1995,,5.8,4.7
137,2000,,5.6,4.5
