point_id,year,radioactivity [Bq*kg-1],soil_electrical_conductivity [mS*m-1],soil_salinity [mg KCl*100g-1]
213,2020,224.0,7.19696969,19.0
215,1995,498.0,13.84,36.5
215,2000,435.0,13.2,34.8
215,2005,429.0,10.9,28.9
215,2010,493.0,6.84,18.06
215,2015,583.0,7.77,20.51
215,2020,311.0,4.16666666,11.0
217,1995,280.0,2.38,6.3
217,2000,282.0,4.0,10.6
217,2005,342.0,5.5,14.6
217,2010,206.0,7.58,20.02
217,2015,430.0,7.23,19.09
217,2020,465.0,10.2272727,27.0
219,1995,360.0,25.95,68.5
219,2000,489.0,24.6,64.9
219,2005,520.0,20.7,53.4
219,2010,569.0,10.29,27.16
219,2015,679.0,11.64,30.73
219,2020,381.0,13.6363636,36.0
221,1995,444.0,7.96,21.0
221,2000,443.0,6.4,17.0
221,2005,434.0,13.5,35.6
221,2010,426.0,7.49,19.77
221,2015,636.0,10.07,26.58
221,2020,271.0,6.81818181,18.0
223,1995,465.0,7.35,19.4
223,2000,513.0,8.2,21.6
223,2005,507.0,9.1,24.1
223,2010,479.0,5.18,13.66
223,2015,598.0,7.67,20.25
223,2020,418.0,4.54545454,12.0
225,1995,206.0,2.42,6.4
225,2000,210.0,3.1,8.2
225,2005,235.0,4.2,11.2
225,2010,395.0,5.21,13.75
225,2015,756.0,6.24,16.47
225,2020,221,"<1,00","<10,00"
229,1995,537.0,8.65,22.8
229,2000,607.0,11.2,29.6
229,2005,575.0,10.6,27.9
229,2010,740.0,6.5,17.15
229,2015,684.0,11.04,29.15
229,2020,556.0,9.84848484,26.0
231,1995,398.0,4.84,12.8
231,2000,307.0,4.3,11.4
231,2005,338.0,6.0,16.0
231,2010,331.0,6.22,16.41
231,2015,487.0,6.21,16.39
231,2020,245.0,6.06060606,16.0
233,1995,440.0,4.99,13.0
233,2000,404.0,6.5,17.2
233,2005,428.0,6.9,18.3
233,2010,503.0,5.84,15.42
233,2015,385.0,16.96,44.77
233,2020,355.0,13.2575757,35.0
235,1995,452.0,17.6,46.5
235,2000,531.0,21.4,56.5
235,2005,407.0,18.1,47.7
235,2010,450.0,4.46,11.77
235,2015,583.0,4.65,12.28
235,2020,431.0,18.18,48.0
237,1995,479.0,10.12,26.7
237,2000,499.0,8.2,21.6
237,2005,493.0,7.4,19.6
237,2010,537.0,4.7,12.4
237,2015,490.0,7.45,19.67
237,2020,387.0,4.55,12.0
239,1995,437.0,4.84,12.8
239,2000,478.0,3.2,8.4
239,2005,509.0,6.1,16.2
239,2010,464.0,5.4,14.26
239,2015,523.0,3.85,10.16
239,2020,343,"<1,00","<10,00"
241,1995,362.0,4.84,12.8
241,2000,488.0,4.3,11.3
241,2005,431.0,5.0,13.3
241,2010,454.0,4.44,11.73
241,2015,459.0,8.52,22.49
241,2020,374.0,4.55,12.0
243,1995,157.0,2.33,6.1
243,2000,140.0,1.9,5.0
243,2005,141.0,3.7,9.8
243,2010,209.0,4.44,11.71
243,2015,253.0,4.55,12.01
243,2020,159.0,7.2,19.0
245,1995,391.0,5.62,14.8
245,2000,376.0,4.8,12.7
245,2005,354.0,7.4,19.6
245,2010,406.0,6.51,17.2
245,2015,657.0,17.66,46.62
245,2020,312.0,5.3,14.0
247,1995,434.0,5.54,14.6
247,2000,443.0,6.8,17.9
247,2005,402.0,6.0,15.8
247,2010,493.0,9.52,25.13
247,2015,604.0,7.45,19.67
247,2020,409.0,7.58,20.0
249,1995,472.0,4.84,12.8
249,2000,442.0,3.9,10.3
249,2005,453.0,9.5,25.0
249,2010,530.0,5.29,13.97
249,2015,680.0,5.56,14.68
249,2020,398.0,11.36,30.0
251,1995,479.0,6.75,17.8
251,2000,480.0,5.4,14.3
251,2005,442.0,11.6,30.7
251,2010,487.0,4.87,12.86
251,2015,517.0,7.54,19.91
251,2020,403.0,7.58,20.0
253,1995,503.0,7.26,19.2
253,2000,494.0,8.1,21.4
253,2005,523.0,11.9,31.4
253,2010,611.0,8.33,21.98
253,2015,721.0,3.72,9.82
253,2020,338,"<1,00","<10,00"
255,1995,546.0,8.09,21.4
255,2000,644.0,7.0,18.5
255,2005,620.0,7.1,18.8
255,2010,600.0,5.04,13.31
255,2015,951.0,6.38,16.84
255,2020,402.0,10.23,27.0
257,1995,331.0,3.96,10.0
257,2000,372.0,2.7,7.1
257,2005,344.0,4.0,10.5
257,2010,344.0,5.15,13.61
257,2015,1037.0,24.03,63.44
257,2020,302.0,10.23,27.0
259,1995,337.0,5.54,14.6
259,2000,433.0,7.3,19.3
259,2005,408.0,16.0,42.2
259,2010,473.0,6.27,16.54
259,2015,413.0,4.39,11.59
259,2020,410,"<1,00","<10,00"
261,1995,368.0,2.33,6.2
261,2000,411.0,3.7,9.8
261,2005,394.0,5.0,13.3
261,2010,416.0,4.16,10.99
261,2015,428.0,5.18,13.68
261,2020,352.0,5.3,14.0
263,1995,564.0,2.99,7.9
263,2000,532.0,2.6,6.9
263,2005,546.0,4.1,10.9
263,2010,677.0,4.15,10.95
263,2015,253.0,4.81,12.7
263,2020,451.0,10.23,27.0
265,1995,567.0,4.06,10.7
265,2000,430.0,3.0,8.0
265,2005,497.0,3.8,10.0
265,2010,324.0,3.65,9.65
265,2015,475.0,4.16,10.98
265,2020,255.0,3.79,10.0
267,1995,510.0,4.75,12.5
267,2000,529.0,5.2,13.7
267,2005,529.0,4.4,11.7
267,2010,634.0,5.19,13.7
267,2015,432.0,4.37,11.54
267,2020,291.0,15.91,42.0
269,1995,534.0,8.09,21.4
269,2000,521.0,10.7,28.2
269,2005,517.0,8.9,23.6
269,2010,539.0,5.61,14.82
269,2015,663.0,6.14,16.21
269,2020,426.0,9.47,25.0
271,1995,378.0,3.08,8.1
271,2000,336.0,3.3,8.7
271,2005,416.0,6.4,17.0
271,2010,355.0,4.51,11.91
271,2015,432.0,8.46,22.33
271,2020,323.0,6.82,18.0
273,1995,253.0,4.4,11.6
273,2000,233.0,3.7,9.8
273,2005,230.0,3.5,9.2
273,2010,428.0,3.1,8.18
273,2015,531.0,8.33,21.99
273,2020,330.0,4.55,12.0
275,1995,314.0,2.73,7.2
275,2000,302.0,2.0,5.3
275,2005,293.0,4.1,10.9
