point_id,year,BN-78/9180-11: 1.0-0.1 mm [%],BN-78/9180-11: 0.1-0.02 mm [%],BN-78/9180-11: < 0.02 mm [%],PTG 2008: 0.05-0.002 mm [%],PTG 2008: 2.0-0.05 mm [%],PTG 2008: < 0.002 mm [%]
147,2010,55.0,23.0,22.0,27.0,69.0,4.0
147,2015,56.0,25.0,19.0,29.0,69.0,2.0
147,2020,52.0,31.0,17.0,25.0,65.0,10.0
149,1995,73.0,17.0,10.0,,,1.0
149,2000,74.0,18.0,8.0,,,3.0
149,2005,81.0,14.0,5.0,,,1.0
149,2010,73.0,16.0,11.0,13.0,86.0,1.0
149,2015,72.0,20.0,8.0,11.0,88.0,1.0
149,2020,71.0,16.0,13.0,26.0,70.0,4.0
151,1995,37.0,23.0,40.0,,,12.0
151,2000,40.0,21.0,39.0,,,14.0
151,2005,41.0,23.0,36.0,,,12.0
151,2010,35.0,24.0,41.0,45.0,44.0,11.0
151,2015,42.0,29.0,29.0,43.0,53.0,4.0
151,2020,36.0,23.0,41.0,45.0,45.0,10.0
153,1995,61.0,24.0,15.0,,,5.0
153,2000,55.0,27.0,18.0,,,4.0
153,2005,57.0,29.0,14.0,,,3.0
153,2010,62.0,25.0,13.0,25.0,74.0,1.0
153,2015,67.0,20.0,13.0,24.0,75.0,1.0
153,2020,42.0,39.0,19.0,41.0,53.0,6.0
155,1995,87.0,9.0,4.0,,,1.0
155,2000,86.0,9.0,5.0,,,2.0
155,2005,82.0,12.0,6.0,,,1.0
155,2010,88.0,7.0,5.0,6.0,93.0,1.0
155,2015,91.0,5.0,4.0,6.0,94.0,0.0
155,2020,60.0,31.0,9.0,25.0,73.0,2.0
157,1995,79.0,13.0,8.0,,,3.0
157,2000,85.0,7.0,8.0,,,2.0
157,2005,80.0,12.0,8.0,,,1.0
157,2010,88.0,5.0,7.0,8.0,91.0,1.0
157,2015,84.0,9.0,7.0,10.0,89.0,1.0
157,2020,68.0,19.0,13.0,15.0,83.0,2.0
159,1995,75.0,14.0,11.0,,,1.0
159,2000,75.0,13.0,12.0,,,3.0
159,2005,76.0,14.0,10.0,,,1.0
159,2010,73.0,17.0,10.0,15.0,84.0,1.0
159,2015,79.0,16.0,5.0,9.0,90.0,1.0
159,2020,65.0,26.0,9.0,19.0,79.0,2.0
161,1995,64.0,21.0,15.0,,,5.0
161,2000,69.0,17.0,14.0,,,4.0
161,2005,66.0,18.0,16.0,,,4.0
161,2010,65.0,20.0,15.0,20.0,77.0,3.0
161,2015,67.0,18.0,15.0,19.0,79.0,2.0
161,2020,67.0,20.0,13.0,14.0,81.0,5.0
163,1995,61.0,25.0,14.0,,,5.0
163,2000,62.0,24.0,14.0,,,4.0
163,2005,62.0,24.0,14.0,,,3.0
163,2010,63.0,24.0,13.0,24.0,75.0,1.0
163,2015,67.0,22.0,11.0,23.0,76.0,1.0
163,2020,44.0,35.0,21.0,40.0,55.0,5.0
165,1995,39.0,40.0,21.0,,,4.0
165,2000,40.0,38.0,22.0,,,6.0
165,2005,42.0,39.0,19.0,,,2.0
165,2010,40.0,39.0,21.0,42.0,54.0,4.0
165,2015,36.0,43.0,21.0,47.0,50.0,3.0
165,2020,28.0,44.0,28.0,58.0,37.0,5.0
167,1995,59.0,21.0,20.0,,,7.0
167,2000,62.0,21.0,17.0,,,8.0
167,2005,63.0,18.0,19.0,,,5.0
167,2010,66.0,18.0,16.0,20.0,78.0,2.0
167,2015,73.0,17.0,10.0,15.0,84.0,1.0
167,2020,47.0,36.0,17.0,37.0,59.0,4.0
169,1995,63.0,26.0,11.0,,,4.0
169,2000,61.0,28.0,11.0,,,2.0
169,2005,67.0,22.0,11.0,,,3.0
169,2010,63.0,27.0,10.0,18.0,80.0,2.0
169,2015,63.0,30.0,7.0,18.0,81.0,1.0
169,2020,43.0,36.0,21.0,40.0,55.0,5.0
171,1995,49.0,30.0,21.0,,,3.0
171,2000,46.0,30.0,24.0,,,4.0
171,2005,48.0,32.0,20.0,,,4.0
171,2010,49.0,31.0,20.0,37.0,61.0,2.0
171,2015,51.0,33.0,16.0,34.0,64.0,2.0
171,2020,48.0,37.0,15.0,36.0,60.0,4.0
173,1995,60.0,28.0,12.0,,,2.0
173,2000,58.0,30.0,12.0,,,3.0
173,2005,58.0,31.0,11.0,,,4.0
173,2010,58.0,29.0,13.0,25.0,73.0,2.0
173,2015,63.0,29.0,8.0,20.0,78.0,2.0
173,2020,50.0,35.0,15.0,33.0,63.0,4.0
175,1995,66.0,28.0,6.0,,,1.0
175,2000,68.0,26.0,6.0,,,1.0
175,2005,65.0,29.0,6.0,,,1.0
175,2010,66.0,28.0,6.0,14.0,85.0,1.0
175,2015,68.0,26.0,6.0,12.0,87.0,1.0
175,2020,56.0,29.0,15.0,27.0,69.0,4.0
177,1995,26.0,35.0,39.0,,,8.0
177,2000,28.0,36.0,36.0,,,8.0
177,2005,32.0,31.0,37.0,,,8.0
