,Name,Code,Value,coordinates,lat,lon
149180050,"ZEBRZYDOWICE,Poland",Piotrówka (1146),140,"(49.8699168, 18.6247092)",49.8699168, 18.6247092
149189998,"ZEBRZYDOWICE,Poland",Pielgrzymówka (11468),150,"(49.8699168, 18.6247092)",49.8699168, 18.6247092
149180040,"GOŁKOWICE,Poland",Szotkówka (1148),160,"(51.1373081, 18.1998348)",51.1373081, 18.1998348
149189999,"GODÓW,Poland",Lesznica (11488),170,"(50.9666726, 21.187721)",50.9666726, 21.187721
150189995,"SAMBOROWICE,Poland",Psina (1152),180,"(50.6250913, 17.2364774)",50.6250913, 17.2364774
150180040,"BOJANÓW,Poland",Psina (1152),190,"(50.4226596, 21.9503092)",50.4226596, 21.9503092
150189999,"KIETRZ,Poland",Troja (11526),200,"(50.0796271, 18.0021082)",50.0796271, 18.0021082
150189996,"GRÓDCZANKI,Poland",Troja (11526),201,"(50.0674452, 18.0526949)",50.0674452, 18.0526949
150180090,"NĘDZA,Poland",Sumina (11568),210,"(50.1603307, 18.3107667)",50.1603307, 18.3107667
150180200,"GOTARTOWICE,Poland",Ruda (1156),230,"(50.0733316, 18.623338066719256)",50.0733316, 18.623338066719256
150180280,"RYBNIK-GOTARTOWICE,Poland",Ruda (1156),235,"(50.0879847, 18.6238376)",50.0879847, 18.6238376
150180130,"RYBNIK-STODOŁY,Poland",Ruda (1156),237,"(50.1674178, 18.4768869)",50.1674178, 18.4768869
150180110,"RUDA KOZIELSKA,Poland",Ruda (1156),240,"(50.2011932, 18.4151519)",50.2011932, 18.4151519
150180140,"RYBNIK,Poland",Nacyna (11564),250,"(50.0955793, 18.5419933)",50.0955793, 18.5419933
150180120,"TWORÓG MAŁY,Poland",Bierawka (1158),260,"(50.2550733, 18.4646542)",50.2550733, 18.4646542
150180080,"GRABÓWKA,Poland",Bierawka (1158),261,"(52.9940661, 22.2981877)",52.9940661, 22.2981877
150189993,"BIERAWA,Poland",Bierawka (1158),270,"(50.2810555, 18.2424545)",50.2810555, 18.2424545
150180250,"KŁODNICA,Poland",Kłodnica (116),280,"(50.3461063, 18.6089628)",50.3461063, 18.6089628
150180220,"GLIWICE,Poland",Kłodnica (116),290,"(50.30113145, 18.662347227971978)",50.30113145, 18.662347227971978
150180180,"GLIWICE-ŁABĘDY,Poland",Kłodnica (116),295,"(50.3403105, 18.6222829)",50.3403105, 18.6222829
150180150,"PYSKOWICE-DZIERŻNO,Poland",Kłodnica (116),298,"(50.3865231, 18.58883473949102)",50.3865231, 18.58883473949102
150189992,"ŁANY MAŁE,Poland",Kłodnica (116),300,"(50.4863135, 19.8435208)",50.4863135, 19.8435208
150180070,"LENARTOWICE,Poland",Kłodnica (116),310,"(51.2440626, 16.7977011)",51.2440626, 16.7977011
150180240,"GLIWICE,Poland",Bytomka (1164),320,"(50.30113145, 18.662347227971978)",50.30113145, 18.662347227971978
150180170,"PYSKOWICE,Poland",Drama (1166),322,"(50.39162675, 18.610881522895056)",50.39162675, 18.610881522895056
150180160,"PYSKOWICE-DZIERŻNO,Poland",Drama (1166),324,"(50.3865231, 18.58883473949102)",50.3865231, 18.58883473949102
150180010,"KAMIONKA,Poland",Stradunia (1174),330,"(51.4711228, 22.4644249)",51.4711228, 22.4644249
150170180,"RACŁAWICE ŚLĄSKIE,Poland",Osobłoga (1176),340,"(50.3109023, 17.7724454)",50.3109023, 17.7724454
150179995,"KOMORNIKI,Poland",Osobłoga (1176),350,"(51.530574, 16.1448619)",51.530574, 16.1448619
150170110,"PRUDNIK,Poland",Prudnik (11764),360,"(50.3217212, 17.5801041)",50.3217212, 17.5801041
150170080,"JARNOŁTÓWEK,Poland",Złoty Potok (117644),370,"(50.2845253, 17.4260301)",50.2845253, 17.4260301
150170220,"DOBRA,Poland",Biała (11768),380,"(51.9161774, 18.6159693)",51.9161774, 18.6159693
150189991,"KUCZÓW,Poland",Mała Panew (118),390,"(51.0027513, 21.1261376)",51.0027513, 21.1261376
150180190,"KRUPSKI MŁYN,Poland",Mała Panew (118),400,"(50.5737746, 18.6234495)",50.5737746, 18.6234495
150180100,"STANISZCZE WIELKIE,Poland",Mała Panew (118),410,"(50.6482658, 18.3483893)",50.6482658, 18.3483893
150180050,"OZIMEK,Poland",Mała Panew (118),412,"(50.6789196, 18.2125227)",50.6789196, 18.2125227
150180020,"TURAWA,Poland",Mała Panew (118),420,"(50.7392667, 18.0757762)",50.7392667, 18.0757762
150180230,"WESOŁA,Poland",Stoła (11816),430,"(52.2517942, 21.2292763)",52.2517942, 21.2292763
150160190,"MIĘDZYLESIE,Poland",Nysa Kłodzka (12),440,"(50.1480131, 16.6669348)",50.1480131, 16.6669348
150160170,"BYSTRZYCA KŁODZKA,Poland",Nysa Kłodzka (12),450,"(50.2968684, 16.652017)",50.2968684, 16.652017
150160180,"KŁODZKO,Poland",Nysa Kłodzka (12),460,"(50.438651, 16.6551878)",50.438651, 16.6551878
150160220,"BARDO,Poland",Nysa Kłodzka (12),461,"(50.50676, 16.7402382)",50.50676, 16.7402382
